,Page,Members,Message,Date,Interactions
0,Antibiotic Steward🆔 Bassam Gh...,"16,672 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows If current trends continue, antivaccine views will dominate online discussion in 10 yrs a time when a future vaccine against #COVID19 may be critical to public health https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",5
1,Meredith Wadman,"2,025 Followers","""Antivaccine pages...are more numerous, faster growing, and increasingly more connected to undecided pages."" My @ScienceInsider report on a new @nature paper from Neil Johnson @GWtweets https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",5
2,Val Giddings,"4,720 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",3
3,SynBioBeta,"21,800 Followers","If the current trends continue, the researchers predict, antivaccine views will dominate online discussion in 10 years—a time when a future vaccine against COVID-19 may be critical to public health https://bit.ly/2Anqnf7 @meredithwadman","May 13, 2020",1
4,David Grimm,"2,953 Followers",A first-of-its-kind analysis of more than 1300 Facebook pages with nearly 100 million followers has produced a network map that’s alarming public health professionals https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows,"May 13, 2020",1
5,Sandra,"8,387 Followers","Keep up the good work ! Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
6,sunfellow,"1,410 Followers","Vaccine Opponents Are Gaining In Facebook ‘Battle For Hearts And Minds,’ New Map Shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows Learn more: https://sunfellow.com/vaccination-resource-page/ And here: https://childrenshealthdefense.org/","May 13, 2020",0
7,Brandon Bowers,290 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
8,Saulo Andrade,300 Followers,"Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows | Science | AAAS - https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
9,TeselaGen Biotech,"10,260 Followers","If the current trends continue, the researchers predict, antivaccine views will dominate online discussion in 10 years—a time when a future vaccine against COVID-19 may be critical to public health. https://buff.ly/2T2MIoH @meredithwadman","May 13, 2020",0
10,Darren Culbreath,"1,691 Followers","Vaccine opponents are gaining in #Facebook ‘battle for hearts and minds,’ new map shows #Science|AAAS#AAAS http://smpt.co/pmB4M @NewsfromScience https://t.co/XNLzmDgjUA","May 13, 2020",0
11,David G Pfister,242 Followers,"Nut job Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
12,NABT,"3,172 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows | Science | AAAS https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
13,Vipin M. Vashishtha,"1,128 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
14,Science: Disrupt,"3,954 Followers","If the current trends continue, the researchers predict, antivaccine views will dominate online discussion in 10 years—a time when a future vaccine against COVID-19 may be critical to public health. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows @meredithwadman","May 13, 2020",0
15,Rick Alan Ross,"4,109 Followers","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
16,Dr. Bou Dib,"3,773 Followers","Today in Science ( @sciencemagazine ) : Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",0
