,Page,Members,Message,Date,Interactions
0,News from Science,"2,436,465 Page Likes",If only we could inoculate ourselves against misinformation on social media. . . .,"May 13, 2020",1837
1,AAAS - The American Associatio...,"221,728 Page Likes",If only we could inoculate ourselves against misinformation on social media. . . .,"May 13, 2020",1236
2,We Love GMOs and Vaccines,"231,042 Page Likes",,"May 14, 2020",785
3,"Do you even Science, Bro","418,716 Page Likes",Hold the line!,"May 14, 2020",272
4,Mark Lynas,"3,260 Page Likes","According to the latest analysis, anti-vaccination campaigners are winning the information war right here on Facebook. While pro-vaccine voices are ""stuck in an echo chamber"", the antis are out there recruiting millions of new believers by spreading fear and misinformation about COVID-19. Watch out. https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",68
5,Frank Luntz,"36,344 Page Likes",Facebook page membership • Pro-vaccine pages: 6.9 million • Anti-vaccine pages: 4.2 million,"May 14, 2020",62
6,For the Greater Glory of Scien...,"85,583 Page Likes",https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows#,"May 14, 2020",52
7,Dr Karl's Self Service Science...,"4,647 Members",,"May 14, 2020",40
8,Vaccines save lives,"4,618 Members",https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=ScienceNow&utm_source=JHubbard&utm_medium=Facebook,"May 14, 2020",38
9,National Health Federation,"8,326 Page Likes",,"May 13, 2020",36
10,Marcha Pela Ciência no Brasil,"12,146 Members",MUITO PREOCUPANTE,"May 14, 2020",33
11,HABLEMOS DE VIRUS,"4,737 Members","Esto, de verdad, si es grave!!!","May 14, 2020",31
12,"99% unite Main Group ""it's us ...","43,625 Members",,"May 14, 2020",29
13,לחיות ללא תרופות. רפואת יתר,"5,129 Members","**מלחמת החיסונים (התגלמות רפואת היתר) מתעצמת**. ויכול להיות שאנחנו מתגברים! ראו מחקר מענין מארה""ב שמראה שיש גידול משמעותי בנוכחות של מתנגדי חיסונים ברשתות החברתיות. המחקר נערך ב2019 אבל התפרסם עכשיו ומקושר לקורונה בכך שהכותבים חוששים שהמגמה המוצגת תכשיל את החיסון לקורונה ש""כל כך חיוני"". המחקר מציין כמה גורמים לכך (המחקר כמובן מודאג מהתופעה כי החוקר הוא מקדם חיסונים). שווה ללמוד מה עושים מתנגדי החיסונים נכון וגם שווה לדעת שהאופוזיציה לומדת את הנושא ועלולה לאמץ דרכים חדשות. דע את האויב. 1. מתנגדי החיסונים (הנקודות האדומות) באים במגע רשתי הדוק עם הניטרליים (הנקודות הירוקות). לכן יש להם יותר הזדמנויות לקדם את האג'נדה שלהם. 1. מקדמי החיסונים (הנקודות הכחולות) הן אתרי ""מדע"". הציבור הכללי הניטרלי (הירוקים) מתרחק ממדע (זו תופעה מוכרת אגב כבר כמה עשורים, ביחוד בגלל מאבק המדע המערבי בדת). 1. האג'נדה של מתנגדי החיסונים היא הטלת ספק. קל לאדם ניטרלי להטיל ספק. לעומת זאת **האג'נדה של מקדמי החיסונים היא להפוך את מתנגדי החיסונים לאויבי העם ולסכנה בריאותית** (זה נאמר במחקר, אני לא ממציא). האסטרטגיה הזו נכשלת בגלל שהציבור הרחב לא מתחבר למסרים הללו. זו נקודה מאד חשובה באסטרטגיית המאבק בכפיית חיסונים. אני אפרש מה אני מבין מכך: האסטרטגיה של הפארמה, כתבי הבריאות ומשרד הבריאות היא לצייר את אי ההתחסנות כסכנה בריאותית ואת מתנגדי החיסונים כמפיצי מחלות. זה כמובן לא נכון עובדתית אבל זה הקו היחצני שלהם, גם בישראל. מסתבר שהקו הזה לא עובד. במילים אחרות הציבור באופן כללי לא נותן שיתמרנו אותו. יש רמיזה במאמר לכך שהטקטיקה צריכה לנגן על הצד החיובי (של החיסונים) במקום על הצד השלילי של מתנגדי החיסונים. מה הלקח לנו? שטוב לנו שימשיכו להציג את מתנגדי החיסונים כמפיצי מחלות. אם כמובן המחקר צודק במסקנות שלו. גם אם זה מעליב או פוגע. בכל מקרה **לא ברור שצריך להילחם בקו התקשורתי הזה של מקדמי החיסונים כי יש סימנים שהוא נכשל.** 1. **המאבק הוא על הלב והמוח. hearts and minds** ו**הקטע של הלב מנצח**. מדענים וחברות פארמה ובוודאי ארגוני בריאות לא טובים בקטע של ""הלב"" (הרגש). וזה מה שמחבר את הניטרליים אל המתנגדים. לכן (וזו התזה שלי כבר הרבה זמן) המאבק לא צריך להיות על שכנוע מדעי אלא על דיבור אל הלב. על דברים רכים כמו חופש בחירה, זכות האדם על גופו, חרות הפרט, זכות הפרט, חובתו של הרופא ""קודם כל אל תגרום נזק"" *Primum non nocere*. הדרך לניצחון במניעת כפיית החיסונים לא עוברת במשרד הבריאות, במדעני מדעת, ברופאים או חוקרים. היא עוברת בדעת הקהל. ודעת הקהל צריכה מסרים מסוג מסוים. [https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=news_daily_2020-05-13&et_rid=17051476&et_cid=3325411](https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=news_daily_2020-05-13&et_rid=17051476&et_cid=3325411)","May 14, 2020",29
14,Anonymous Canada,"31,140 Page Likes",,"May 13, 2020",28
15,The Cult Education Institute,"3,282 Page Likes","Vaccine opponents are gaining in Facebook ‘battle for hearts and minds,’ new map shows https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows","May 13, 2020",20
16,Człowiek 2.0,"15,041 Page Likes","Kłamstwo obiegnie cały świat, zanim prawda zdąży włożyć buty 🙄","May 14, 2020",19
17,Stop ID2020,"6,559 Members","#Vaccine opponents (#truth) gaining in Facebook 'battle for hearts and minds,' new map shows ","May 14, 2020",17
18,New World Order Exposed,"9,151 Members",,"May 13, 2020",16
19,Coronavirus Resistance Cafe - ...,"3,461 Members",Good time to gear up and refute these trolls. [https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows](https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows),"May 14, 2020",14
20,Chemtrails Global Skywatch,"181,083 Members",,"May 13, 2020",13
21,Follow the Rabbit Hole,"5,497 Members",,"May 14, 2020",13
22,Vaccine Science and Informatio...,"1,411 Page Likes",,"May 14, 2020",13
23,קהילת מדעת,"14,290 Members","לא מפתיע, אבל בכל זאת...","May 13, 2020",10
24,Collective Action Against Bill...,"79,450 Members",,"May 14, 2020",9
25,Coffee Break Club de fans,"3,564 Members","""El primer análisis de más de 1300 páginas de Facebook con casi 100 millones de seguidores ha producido un mapa que alarma a los profesionales de la salud pública. Las páginas antivacunas tienen menos seguidores que las páginas pro-vacuna pero son más numerosas, de crecimiento más rápido y cada vez más conectadas a páginas indecisas, según el estudio. Si las tendencias actuales continúan, los investigadores predicen que las opiniones antivacunas dominarán la discusión en línea en 10 años, un momento en que una futura vacuna contra COVID-19 puede ser crítica para la salud pública.""","May 14, 2020",7
26,Citizens Unite UK #wakeup,"3,695 Members",,"May 14, 2020",4
27,American Sociological Associat...,"5,519 Members",“It’s like we as a public health community still have the old IBM model and not the startup Silicon Valley approach. … The reds have got that down.” Pro-vaccine pages “seem to be in an echo chamber and their preaching doesn’t seem to go any further than the choir.” ,"May 14, 2020",4
28,I Just Thought You Should Know,179 Page Likes,https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=ScienceNow&utm_source=JHubbard&utm_medium=Facebook,"May 13, 2020",0
29,Форум Наука,"1,461 Members",https://www.sciencemag.org/news/2020/05/vaccine-opponents-are-gaining-facebook-battle-hearts-and-minds-new-map-shows?utm_campaign=ScienceNow&utm_source=JHubbard&utm_medium=Facebook#,"May 13, 2020",0
