,Page,Members,Message,Date,Interactions
0,Yonatan Lupu,"1,306 Followers","I am fortunate to be part of a GW-based research team studying online extremism and other fringe groups. Today, Nature published our study of the vaccination discussion on Facebook. Here’s the coverage at Nature News, and below a link to the study. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",31
1,Philip Ball,"11,939 Followers","The topography of the antivax landscape, and why it's worrying. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",29
2,Federico Kukso,"30,536 Followers","El movimiento antivacunas podría socavar los esfuerzos para poner fin a la pandemia de coronavirus, advierten investigadores https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",25
3,"Julio Rodríguez, PhD","3,243 Followers","En este estudio ""los científicos advierten que el movimiento #antivacunas podría afectar negativamente al proceso de poner fin a la pandemia de #coronavirus"" https://www.nature.com/articles/d41586-020-01423-4 https://t.co/91LGgENHyT","May 13, 2020",2
4,Roy Eacups,"3,556 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn. Studies of social networks show that opposition to vaccines is small but far-reaching — and growing. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",2
5,Red Interdisciplinaria de Epig...,649 Followers,"Y luego que por que reaparecen #enfermedades? #Antivacunas #Vacunas Anti-vaccine movement could prolong coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1
6,Nidhi Subbaraman,"7,777 Followers","The antivaxx movement could prolong the coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1
7,mirage prism apocalypse tank,781 Followers,"💡 ""Anti-vaccine movement could prolong coronavirus pandemic, researchers warn"" https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
8,Christopher Overton,7 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
9,MIRR,135 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
10,T. Ni,431 Followers,"こういう人たち、まだ息してるんだね。アメリカだと強制のワクチンが多いから、なんか不安なのはわかるけどさ。→ Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
11,Felipe,29 Followers,"Anti-vacunas, metiendo la pata, la pierna y la cabeza desde siempre. Y seguro que lo volverán a hacer con #COVID19. #vacunacoronavirus ""Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn"" https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
12,a_1_0_2,183 Followers,"""Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn"" https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
13,Function_1st,188 Followers,"Anti-vaccine movement could prolong coronavirus pandemic, researchers warn: https://www.nature.com/articles/d41586-020-01423-4 Here come the Dumbericans! Studies of social networks show that opposition to vaccines is small but far-reaching & growing. Well don't vaccinate them. Let them risk it with COVID.","May 13, 2020",0
14,Rachana Deven Somaiya,112 Followers,"OMG... Seriously?! Anti-vaccine movement could prolong coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",0
